trial,state,value,param_gamma,param_mu,param_nu,param_rho,param_delta,param_lambda_,param_p_h,attr_train_total_revenue,attr_train_avg_revenue,attr_valid_total_revenue,attr_valid_avg_revenue,attr_pacing_term
19,COMPLETE,94.97195477807162,0.9152723335339162,2.1643834995380606,0.04171278318714422,0.06448381546539439,2.504466018892674,1.3326468628243815,-0.7602692653326344,323773.51415042207,95.93289308160654,80156.32983269244,94.97195477807162,0.9509749369902795
20,COMPLETE,97.76345918240946,0.06450315047461481,2.657458223475115,1.9392175921245314,0.11274373046019637,4.2181137533710675,2.181777614275764,0.9435641654419213,329747.2774839143,97.7028970322709,82512.35954995359,97.76345918240946,1.1063809439404841
21,PRUNED,35.11347056990097,2.031846404529127,-1.489306225047815,2.9834910353543127,-1.194730141099382,1.7090429662648057,0.22132168412719677,0.2191286679597937,,,,,
22,PRUNED,15.059019459818023,0.1604701066756941,-2.6911274925000637,1.6718787854196686,2.4495953157999217,1.4373713440018345,0.8693692325473386,-0.02109447944487397,,,,,
23,PRUNED,36.30630261039038,2.309567494202783,-1.5476683709309975,4.032813284435271,1.569717691972306,1.425825263954398,4.3692980916711575,-0.26443373456149355,,,,,
24,COMPLETE,53.467628020502154,0.32827019179386574,0.801178264565368,3.2146481044485506,-2.45826137967355,5.011814973535428,1.924680389830415,-0.6269629792002915,180019.47638666615,53.339104114567746,45126.67804930382,53.467628020502154,2.5412388782531483
25,COMPLETE,90.23773856000405,0.012524959876703306,0.5453576591294507,4.065386171053694,-2.900473026432863,3.0725583497956857,1.3589746511876277,0.2903455808188997,309446.6549564282,91.68789776486761,76160.65134464341,90.23773856000405,0.15786047449079854
26,PRUNED,15.655736558181564,0.026189079637048262,1.1456264286147952,2.3204120778032244,2.6203799324204073,0.8251256648759595,2.046398106301551,-0.7730529575188219,,,,,
27,COMPLETE,95.21087938633175,1.6495284980756062,2.264036120285886,1.5476497662909336,0.9599042762050742,4.903333201207295,3.3312048695967738,0.05930115671201297,321837.1931030467,95.35916832682865,80357.982202064,95.21087938633175,1.0569234339117686
28,PRUNED,42.3775833662269,0.03801432510349293,-2.441383393164605,5.38329454771996,2.402508342979983,3.7986087436396074,2.034178746292204,-0.3015808507746782,,,,,
